Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,New Delhi,,,,,,,8639.0,159.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Noida,,,,,,,5458.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Noida,,,,,,,4782.0,73.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Noida,,,,,,,2091.0,43.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Pune,,,,,,,6844.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Pune,,,,,,,7805.0,78.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Pune,,,,,,,2873.0,30.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,RO AP + Tel,,,,,,,8491.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,RO AP + Tel,,,,,,,9893.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,RO AP + Tel,,,,,,,8455.0,158.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,RO Karnataka,,,,,,,9672.0,121.0,nan,nan,nan,nan,nan,nan,nan,nan
