Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Mans Apparel,,259258,2557,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Handbags,,256159,2578,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Luxury and Beauty,,258834,2587,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Watches,,259209,2524,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Apparel,,259358,2606,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Jewellery,,259118,2593,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_travel luggage,,258125,2530,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Travel luaggage,Kolkata + Howrah,205719,1796,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Man Apparel,Kolkata + Howrah,201485,1846,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Jewellary,Kolkata + Howrah,200877,1765,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Bag,Kolkata + Howrah,200455,1678,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Luxury Beauty,Kolkata + Howrah,202421,1771,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Apparel,Kolkata + Howrah,201313,1706,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Handbags,Kolkata + Howrah,198519,1678,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Footwear,Kolkata + Howrah,201247,1743,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Watches,Kolkata + Howrah,200768,1753,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Jewellery,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",431491,4551,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Man Apparel,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",432417,4318,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Travel Luggage,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",427430,4218,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO1_Hand Bags,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",426953,4182,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Footwear,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",216471,2224,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Watches,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",217059,2229,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Luxury and Beauty,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",431389,4437,,,,,,,,,,,,,,,
