Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 3 - Zero convenience fee - 990x505,ahmedabad,"3,236",17,291.24
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 3 - Zero convenience fee - 990x505,ahmedabad,"2,177",7,195.93
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 3 - Zero convenience fee - 990x505,ahmedabad,"9,065",103,815.85
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 3 - Zero convenience fee - 990x505,ahmedabad,489,6,44.01
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set1 - Bill Payment - 990x505,ahmedabad,"3,126",22,281.34
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set1 - Bill Payment - 990x505,ahmedabad,"5,037",22,453.33
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set1 - Bill Payment - 990x505,ahmedabad,391,1,35.19
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set1 - Bill Payment - 990x505,ahmedabad,"1,131",5,101.79
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set1 - Bill Payment - 990x505,ahmedabad,"9,495",135,854.55
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set1 - Bill Payment - 990x505,ahmedabad,"1,195",13,107.55
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 990x505,ahmedabad,"3,092",19,278.28
